STREET_NO,STREET_NAME,ZIP_CODE,NO_ROOMS,NO_BEDROOMS,NO_FULL_BATHS,NO_HALF_BATHS,SQUARE_FEET,SALE_PRICE,LIST_PRICE,ORIG_PRICE,MARKET_TIME_PROPERTY,GARAGE_SPACES_RN,ELEVATOR_RN,PARKING_SPACES_RN,Avg Rent
138,Pine St,2139,6,1,1,1,926,2750,2750,2750,9,,,0,
1558,Massachusetts Avenue,2138,5,1,1,0,1000,2400,2400,2400,2,,,0,
38,Speridakis Ter,2139,3,1,1,0,795,2400,2400,2400,4,,,0,"$2,686"
71,Martin Street,2138,4,1,1,0,629,2200,2200,2200,12,,N,0,
1,Earhart St,2141,3,1,1,1,817,2800,2800,2800,8,0,Y,1,
11,Max Ave,2141,2,1,1,0,680,2350,2350,2350,5,,N,0,
4,Watson St,2139,5,1,1,0,650,2000,2000,2000,9,,,0,
10,Dana St,2138,4,1,1,0,691,2300,2350,2350,10,,,0,
6,Canal Park,2141,3,1,1,0,834,3100,3000,3000,12,1,Y,1,
221,Mount Auburn,2138,3,1,1,0,811,2750,2750,2750,8,,Y,1,
16,Ware,2138,3,1,1,0,660,2400,2400,2400,11,,Y,1,
13,Story St,2138,4,1,1,0,775,3200,3200,3200,24,0,N,0,
3,Crawford Street,2139,3,1,1,0,540,2150,2150,2150,16,,N,0,
931,massachusetts ave,2139,3,1,1,1,815,2600,2600,2600,6,1,Y,1,
52,Garden St,2138,4,1,1,0,770,2600,2600,2650,11,,Y,0,
10,Dana Street,2138,4,1,1,0,730,2700,2700,2700,16,,,0,
270,3rd Street,2142,3,1,1,0,720,3587,3525,3525,36,1,Y,1,
3,Linnaean Street,2138,3,1,1,0,650,2300,2300,2300,10,,N,0,
50,Follen St,2138,4,1,1,0,715,2400,2400,2400,11,,Y,0,
1,Craigie,2138,3,1,1,0,600,1900,1900,1900,6,,,0,
856,Mass Ave,2139,3,1,1,0,682,2400,2550,2550,10,0,N,1,
320,Rindge Ave,2140,4,1,1,0,795,2400,2400,2400,7,1,Y,1,
184,Prospect Street,2139,3,1,1,0,660,2750,2700,2700,20,,N,1,
29,Concord Ave.,2138,3,1,1,0,495,2000,2000,2000,18,,Y,0,
170,Gore St.,2141,3,1,1,0,630,2500,2500,2500,17,1,Y,1,
3,Linnaean Street,2138,3,1,1,0,650,2400,2400,2400,13,,N,0,
1558,Massachusetts Avenue,2138,4,1,1,0,700,2200,2200,2200,9,,,0,
284,Harvard St,2139,2,1,1,0,450,2500,2300,2300,39,1,Y,1,
8,Museum Way,2141,3,1,1,0,655,2500,2500,2500,15,,Y,1,
24,Concord Ave,2138,3,1,1,0,685,2300,2300,2300,9,,,0,
269,Harvard,2139,4,1,1,0,605,2100,2100,2100,14,,Y,1,
8,Museum Way,2141,3,1,1,0,663,2599,2599,2650,17,,Y,1,
2,Chestnut St.,92139,3,1,1,0,822,2600,2600,2600,7,1,Y,1,
14,Ware St,2138,3,1,1,0,660,2800,3200,3200,23,,,1,
891,Massachusetts Avenue,2138,3,1,1,0,600,2300,2300,2300,16,,,0,
121,Thorndike,2141,4,1,1,0,650,1900,1900,1900,7,0,N,0,
253,Norfolk Street,2139,3,1,1,0,719,2700,2700,2700,15,1,N,1,
329,Harvard Street,2139,3,1,1,0,592,2400,2400,2400,20,,,1,
10,Museum Way,2141,4,1,1,0,811,3100,3150,3250,21,,Y,1,
108,magazine street,2139,3,1,1,0,600,2200,2200,2200,14,,,0,
285,Harvard St.,2139,4,1,1,0,650,3040,2950,3200,43,1,Y,0,
170,Gore St,2141,3,1,1,0,640,2500,2500,2500,19,1,,1,
17,Otis St,2141,3,1,1,1,910,3000,3000,3000,10,1,Y,1,
931,Massachusetts Ave,2139,3,1,1,1,703,2700,2700,2800,18,1,Y,1,
104,Trowbridge Street,2138,3,1,1,0,563,2400,2400,2300,26,0,N,1,
524,Putnam Ave,2139,3,1,1,0,475,2200,2300,2300,34,,,1,
44,Concord Avenue,2138,4,1,1,0,844,2500,2500,2500,9,,Y,1,
33,Rogers St.,2142,3,1,1,0,700,3199,3195,3270,33,1,Y,1,
33,Rogers St.,2142,3,1,1,0,541,3297,3255,3235,77,1,Y,1,
10,Cogswell,2140,3,1,1,0,650,1800,1800,1800,5,,N,1,
24,Concord Ave,2138,3,1,1,0,750,2300,2300,2300,8,,Y,0,
2,Earhart,2141,4,1,1,0,911,3200,3100,3100,18,,Y,1,
10,Museum Way,2141,3,1,1,0,663,2500,2500,2500,18,,,0,
71,Martin Street,2138,4,1,1,0,630,2100,2100,2100,15,,N,0,
2,Arnold Circle,2139,4,1,1,0,570,2200,2200,2200,25,0,N,0,
12,Ware St,2138,3,1,1,0,660,2700,2700,2700,24,0,Y,1,
253,Norfolk Street,2139,3,1,1,0,843,2400,2400,2400,6,,N,1,
538,Green Street,2139,3,1,1,0,640,2000,2000,2000,9,,N,0,
3,Arlington Street,2140,3,1,1,0,528,2100,2100,2200,22,0,Y,0,
100A,Hampshire,2139,3,1,1,0,479,2300,2300,2300,40,,U,0,
50,Follen St.,2138,3,1,1,0,706,2600,2600,2600,17,,Y,0,
52,Garden St,2138,4,1,1,0,867,2700,2700,2700,12,0,Y,0,"$2,791"
284,Harvard St,2139,2,1,1,0,450,2000,2000,2300,23,1,Y,1,
950,Massachusetts Ave,2139,3,1,1,0,603,2700,2800,2800,33,1,Y,1,
77,Trowbridge St,2138,3,1,1,0,750,2100,2100,2100,6,,,0,
585,FRANKLIN,2139,4,1,1,0,600,2000,2000,2000,16,,,0,
24,Concord Ave,2138,3,1,1,0,685,2300,2300,2300,13,,Y,0,
24,Concord Ave,2138,3,1,1,0,685,2300,2300,2300,13,,,0,
48,Magazine St,2139,3,1,1,0,508,2400,2400,2400,41,0,,0,
46,Shepard St,2138,3,1,1,0,533,1975,1925,1925,20,,,0,
950,Massachusetts Avenue,2139,3,1,1,0,674,2600,2600,2600,23,1,Y,1,
68,Porter St,2141,3,1,1,0,500,1550,1500,1500,11,,N,0,
285,Harvard,2138,4,1,1,0,592,2300,2300,2300,30,,Y,0,
3,Arlington,2140,3,1,1,0,730,2450,2450,2450,15,1,Y,1,
33,Cogswell Ave,2140,3,1,1,0,600,2195,2195,2195,20,,N,1,
262,Monsignor O'Brien Hwy,2141,3,1,1,0,781,2900,3000,3000,21,,Y,1,
988,Memorial Drive,2138,3,1,1,0,570,3500,2975,3400,88,,Y,1,
28,Langdon Street,2138,2,1,1,0,600,2250,2250,2250,16,,N,0,
273,Concord Avenue,2138,3,1,1,0,527,2100,2100,2100,27,0,N,1,
24,Concord Ave,2138,3,1,1,0,700,2100,2100,2100,11,,Y,0,
86,Buckingham St,2138,3,1,1,0,600,2300,2400,2400,25,0,N,0,
345,Harvard St,2138,2,1,1,0,600,2500,2500,2600,24,0,,1,
4,Canal Park,2141,3,1,1,0,833,2800,2800,2900,17,1,Y,1,
8,Museum,2139,3,1,1,0,683,2450,2500,2500,21,,,0,
33,Rogers St.,2142,3,1,1,0,700,3249,3250,3335,45,1,Y,1,
59,Clarendon Avenue,2140,3,1,1,0,760,1700,1700,1700,4,,N,0,
1699,Cambridge,2138,3,1,1,0,620,2250,2250,2250,23,,N,0,
12-Aug,Museum Way,2141,3,1,1,0,663,2650,2650,2650,31,1,Y,1,
75-83,Cambridge Pkwy,2142,3,1,1,0,810,3150,3150,3150,29,,Y,1,
931,massachusetts,2139,3,1,1,1,811,2575,2600,2700,16,1,Y,1,
11,Cogswell Avenue,2140,3,1,1,0,575,2100,2100,2100,25,0,N,1,
262,Monsignor Obrien Hwy,2141,3,1,1,0,730,3000,3000,3000,35,1,Y,1,
2,Earhart st,2141,3,1,1,1,864,3100,3100,3100,24,0,Y,1,
169,Monsignor Obrien Hwy,2141,3,1,1,0,670,2400,2400,2400,24,1,Y,0,
2,Earhart St,2141,3,1,1,0,765,2850,2850,2850,27,,Y,1,
50,Follen,2138,3,1,1,0,675,2400,2400,2400,24,,,0,
6,crawford st,2139,3,1,1,0,580,2400,2400,2400,37,,N,0,
472,Windsor St,2141,5,1,1,0,1000,2100,2100,2100,7,,,0,
10,Museum Way,2141,3,1,1,0,807,3000,3079,3199,28,,Y,1,
10,Museum Way,2141,3,1,1,0,663,2750,2750,2800,38,,Y,0,
77,Martin St.,2138,4,1,1,0,777,2150,2150,2150,15,,N,0,
16,Shepard St.,2138,3,1,1,0,483,2200,2200,2100,49,,N,0,
1975,Massachusetts Ave,2140,3,1,1,0,750,3000,3000,3200,35,1,Y,1,
135,Willow St.,2141,4,1,1,0,600,1850,1850,1850,21,,,0,
285,Harvard St,2139,2,1,1,0,592,2400,2400,2400,28,,Y,0,
71,Martin Street,2138,4,1,1,0,696,2200,2200,2200,23,,N,0,
17,Lawrence St,2139,5,1,1,0,850,2500,2500,2500,22,,N,0,
19,Magnolia,2138,3,1,1,0,695,2300,2300,2300,22,,N,1,
863,Massachusetts Ave,2139,3,1,1,0,600,2500,2500,2500,41,,Y,0,
2,Earhart Street,2141,4,1,1,1,948,2900,3000,3000,22,,,1,
93,Harvey St,2140,3,1,1,0,760,2350,2350,2350,19,,Y,2,
30,Upland,2140,3,1,1,0,650,2550,2550,2550,36,,,0,
30,Langdon Street,2138,1,1,1,0,625,2350,2350,2350,16,,N,0,
21,Chauncy St,2138,2,1,1,0,512,2500,2500,2750,50,,,0,
169,Monsginor O'Brien,2141,2,1,1,0,609,2300,2300,2450,26,1,Y,1,
4,Canal Park,2141,3,1,1,0,814,2800,2800,3100,27,1,,1,
6,Blair Place,2140,3,1,1,0,800,2150,2150,2150,14,,,1,
1102,Cambridge St,2139,2,1,1,0,397,1900,2000,2175,49,,,0,
24,Concord Ave,2138,3,1,1,0,685,2400,2300,2300,29,,Y,0,
643,Green st,2139,6,1,1,1,1100,2900,3000,3200,22,,N,1,
24,Concord Ave,2138,3,1,1,0,700,2300,2300,2300,25,,,0,
10,Dana Street,2138,3,1,1,0,525,2395,2395,2400,57,,N,0,
24,Concord Ave,2138,3,1,1,0,685,2300,2300,2300,27,,Y,0,
11,Wendell St,2138,3,1,1,0,600,2200,2200,2200,34,,,1,
12,Ware,2138,3,1,1,0,700,2400,2475,2600,29,,Y,1,
24,Concord Ave,2138,3,1,1,0,750,2300,2300,2300,22,,Y,0,
22,Concord Avenue,2138,3,1,1,0,676,2200,2200,2300,26,0,N,0,
270,3rd Street,2142,4,1,1,0,942,3689,3695,3695,49,1,Y,1,
1572,Massachusetts Ave.,2138,3,1,1,0,840,2200,2200,2200,15,,Y,0,
33,Rogers St.,2142,3,1,1,0,541,2990,3075,2925,93,1,Y,1,
2,Chestnut Street,2139,3,1,1,0,822,2600,2600,2600,25,1,Y,1,
28,Langdon Street,2138,3,1,1,0,600,2200,2200,2250,36,,N,0,
33,Rogers St.,2142,3,1,1,0,700,3229,3225,3260,62,1,Y,1,
218,Thorndike St,2141,4,1,1,0,726,2400,2400,2400,34,1,Y,1,
8,Avon Street,2138,4,1,1,0,730,2950,2975,3150,55,0,N,0,
169,Monsignor O'Brien,2128,4,1,1,0,626,2250,2300,2500,42,,Y,1,
138,Huron Ave.,2138,3,1,1,0,464,1995,1995,2200,54,0,N,1,
1228,Cambridge St,2139,3,1,1,0,950,2750,2750,2800,21,,N,0,
1,Earhart,2141,3,1,1,1,921,3100,3100,3100,31,1,Y,1,
1,Earhart St,2141,3,1,1,1,954,3200,3000,3300,31,1,Y,1,
33,Rogers St.,2142,3,1,1,0,541,2989,2975,3060,98,1,Y,1,
19,Pleasant St,2139,2,1,1,0,407,2150,2150,2175,71,,,0,
1,Dana,2138,4,1,1,0,702,2225,2225,2350,33,0,,0,
2,Earhart Street,2141,3,1,1,0,864,3100,3100,3000,38,1,Y,1,
18,Shepard,2138,2,1,1,0,600,2200,2200,2400,32,,N,0,
15A,Forest Street,2140,3,1,1,0,560,1950,1950,1950,36,,N,0,
4,Van Norden,2140,4,1,1,0,825,2200,2200,2200,23,,,0,
